"","S_pvt_north_temp","S_pvt_spain_temp","S_shared_temp","S_prop_pvt_north_temp","S_prop_pvt_spain_temp","S_count_higher_spain_temp","S_prop_higer_spain_temp"
"1",789,1066,167,0.825313807531381,0.86455798864558,1,1
"2",829,1072,161,0.837373737373737,0.869424168694242,1,1
"3",843,1062,171,0.831360946745562,0.861313868613139,1,1
"4",682,1095,138,0.831707317073171,0.888077858880779,1,1
"5",689,1077,156,0.815384615384615,0.873479318734793,1,1
"6",731,1063,170,0.811320754716981,0.862124898621249,1,1
"7",819,1064,169,0.828947368421053,0.862935928629359,1,1
"8",884,1056,177,0.833176248821866,0.856447688564477,1,1
"9",901,1065,168,0.842843779232928,0.86374695863747,1,1
"10",818,1065,168,0.829614604462475,0.86374695863747,1,1
"11",753,1066,167,0.818478260869565,0.86455798864558,1,1
"12",792,1054,179,0.815653964984552,0.854825628548256,1,1
"13",868,1044,189,0.821192052980132,0.846715328467153,1,1
"14",896,1056,177,0.835041938490214,0.856447688564477,1,1
"15",814,1073,160,0.835728952772074,0.870235198702352,1,1
"16",819,1055,178,0.821464393179539,0.855636658556367,1,1
"17",781,1052,181,0.811850311850312,0.853203568532036,1,1
"18",800,1065,168,0.826446280991736,0.86374695863747,1,1
"19",816,1073,160,0.836065573770492,0.870235198702352,1,1
"20",923,1067,166,0.847566574839302,0.86536901865369,1,1
"21",757,1069,164,0.821932681867535,0.866991078669911,1,1
"22",760,1070,163,0.823401950162513,0.867802108678021,1,1
"23",815,1069,164,0.832482124616956,0.866991078669911,1,1
"24",688,1070,163,0.808460634547591,0.867802108678021,1,1
"25",897,1059,174,0.837535014005602,0.858880778588808,1,1
"26",764,1067,166,0.821505376344086,0.86536901865369,1,1
"27",835,1074,159,0.840040241448692,0.871046228710462,1,1
"28",879,1054,179,0.830812854442344,0.854825628548256,1,1
"29",859,1074,159,0.843811394891945,0.871046228710462,1,1
"30",710,1091,142,0.833333333333333,0.884833738848337,1,1
"31",809,1061,172,0.82466870540265,0.860502838605028,1,1
"32",811,1071,162,0.833504624871531,0.868613138686131,1,1
"33",706,1062,171,0.805017103762828,0.861313868613139,1,1
"34",775,1077,156,0.832438238453276,0.873479318734793,1,1
"35",619,1074,159,0.795629820051414,0.871046228710462,1,1
"36",860,1066,167,0.837390457643622,0.86455798864558,1,1
"37",845,1058,175,0.82843137254902,0.858069748580698,1,1
"38",790,1069,164,0.828092243186583,0.866991078669911,1,1
"39",709,1063,170,0.806598407281001,0.862124898621249,1,1
"40",683,1081,152,0.817964071856287,0.876723438767234,1,1
"41",781,1055,178,0.814389989572471,0.855636658556367,1,1
"42",672,1080,153,0.814545454545455,0.875912408759124,1,1
"43",786,1067,166,0.82563025210084,0.86536901865369,1,1
"44",791,1060,173,0.820539419087137,0.859691808596918,1,1
"45",703,1063,170,0.805269186712486,0.862124898621249,1,1
"46",746,1073,160,0.823399558498896,0.870235198702352,1,1
"47",823,1057,176,0.823823823823824,0.857258718572587,1,1
"48",723,1088,145,0.83294930875576,0.882400648824006,1,1
"49",730,1075,158,0.822072072072072,0.871857258718573,1,1
"50",847,1064,169,0.833661417322835,0.862935928629359,1,1
"51",744,1075,158,0.824833702882483,0.871857258718573,1,1
"52",825,1067,166,0.832492431886983,0.86536901865369,1,1
"53",761,1059,174,0.813903743315508,0.858880778588808,1,1
"54",802,1077,156,0.837160751565762,0.873479318734793,1,1
"55",678,1075,158,0.811004784688995,0.871857258718573,1,1
"56",663,1076,157,0.808536585365854,0.872668288726683,1,1
"57",802,1079,154,0.838912133891213,0.875101378751014,1,1
"58",712,1063,170,0.807256235827664,0.862124898621249,1,1
"59",788,1056,177,0.816580310880829,0.856447688564477,1,1
"60",829,1058,175,0.825697211155379,0.858069748580698,1,1
"61",988,1059,174,0.85025817555938,0.858880778588808,1,1
"62",725,1079,154,0.824800910125142,0.875101378751014,1,1
"63",804,1064,169,0.826310380267215,0.862935928629359,1,1
"64",832,1064,169,0.831168831168831,0.862935928629359,1,1
"65",858,1062,171,0.833819241982507,0.861313868613139,1,1
"66",894,1074,159,0.849002849002849,0.871046228710462,1,1
"67",761,1061,172,0.815648445873526,0.860502838605028,1,1
"68",852,1070,163,0.839408866995074,0.867802108678021,1,1
"69",959,1061,172,0.847922192749779,0.860502838605028,1,1
"70",909,1054,179,0.835477941176471,0.854825628548256,1,1
"71",714,1076,157,0.819747416762342,0.872668288726683,1,1
"72",833,1075,158,0.840565085771948,0.871857258718573,1,1
"73",796,1079,154,0.837894736842105,0.875101378751014,1,1
"74",822,1063,170,0.828629032258065,0.862124898621249,1,1
"75",779,1073,160,0.829605963791267,0.870235198702352,1,1
"76",740,1073,160,0.822222222222222,0.870235198702352,1,1
"77",780,1078,155,0.834224598930481,0.874290348742903,1,1
"78",912,1056,177,0.837465564738292,0.856447688564477,1,1
"79",719,1073,160,0.817974971558589,0.870235198702352,1,1
"80",835,1063,170,0.830845771144279,0.862124898621249,1,1
"81",735,1078,155,0.825842696629214,0.874290348742903,1,1
"82",824,1089,144,0.851239669421488,0.883211678832117,1,1
"83",774,1073,160,0.828693790149893,0.870235198702352,1,1
"84",804,1060,173,0.822927328556807,0.859691808596918,1,1
"85",799,1053,180,0.816138917262513,0.854014598540146,1,1
"86",624,1090,143,0.813559322033898,0.884022708840227,1,1
"87",739,1071,162,0.820199778024417,0.868613138686131,1,1
"88",797,1069,164,0.829344432882414,0.866991078669911,1,1
"89",831,1055,178,0.823587710604559,0.855636658556367,1,1
"90",835,1072,161,0.838353413654618,0.869424168694242,1,1
"91",844,1057,176,0.827450980392157,0.857258718572587,1,1
"92",698,1081,152,0.821176470588235,0.876723438767234,1,1
"93",676,1101,132,0.836633663366337,0.89294403892944,1,1
"94",850,1070,163,0.839091806515301,0.867802108678021,1,1
"95",721,1066,167,0.811936936936937,0.86455798864558,1,1
"96",703,1099,134,0.839904420549582,0.89132197891322,1,1
"97",730,1069,164,0.8165548098434,0.866991078669911,1,1
"98",813,1061,172,0.825380710659898,0.860502838605028,1,1
"99",767,1085,148,0.838251366120219,0.879967558799676,1,1
"100",788,1076,157,0.833862433862434,0.872668288726683,1,1
"101",686,1074,159,0.811834319526627,0.871046228710462,1,1
"102",787,1082,151,0.839019189765458,0.877534468775345,1,1
"103",850,1081,152,0.848303393213573,0.876723438767234,1,1
"104",851,1077,156,0.845084409136048,0.873479318734793,1,1
"105",821,1068,165,0.832657200811359,0.866180048661801,1,1
"106",755,1065,168,0.817984832069339,0.86374695863747,1,1
"107",854,1065,168,0.835616438356164,0.86374695863747,1,1
"108",852,1058,175,0.829600778967868,0.858069748580698,1,1
"109",754,1067,166,0.819565217391304,0.86536901865369,1,1
"110",759,1060,173,0.814377682403433,0.859691808596918,1,1
"111",877,1075,158,0.847342995169082,0.871857258718573,1,1
"112",857,1067,166,0.837732160312806,0.86536901865369,1,1
"113",837,1064,169,0.832007952286282,0.862935928629359,1,1
"114",805,1079,154,0.839416058394161,0.875101378751014,1,1
"115",822,1071,162,0.835365853658537,0.868613138686131,1,1
"116",746,1068,165,0.818880351262349,0.866180048661801,1,1
"117",805,1073,160,0.83419689119171,0.870235198702352,1,1
"118",807,1057,176,0.820956256358087,0.857258718572587,1,1
"119",809,1063,170,0.82635342185904,0.862124898621249,1,1
"120",846,1058,175,0.828599412340842,0.858069748580698,1,1
"121",921,1059,174,0.841095890410959,0.858880778588808,1,1
"122",781,1061,172,0.819517313746065,0.860502838605028,1,1
"123",818,1083,150,0.84504132231405,0.878345498783455,1,1
"124",805,1054,179,0.818089430894309,0.854825628548256,1,1
"125",771,1078,155,0.832613390928726,0.874290348742903,1,1
"126",815,1061,172,0.825734549138805,0.860502838605028,1,1
"127",792,1050,183,0.812307692307692,0.851581508515815,1,1
"128",750,1050,183,0.803858520900322,0.851581508515815,1,1
"129",904,1052,181,0.833179723502304,0.853203568532036,1,1
"130",832,1073,160,0.838709677419355,0.870235198702352,1,1
"131",792,1068,165,0.827586206896552,0.866180048661801,1,1
"132",673,1080,153,0.814769975786925,0.875912408759124,1,1
"133",936,1066,167,0.848594741613781,0.86455798864558,1,1
"134",841,1058,175,0.827755905511811,0.858069748580698,1,1
"135",887,1064,169,0.839962121212121,0.862935928629359,1,1
"136",867,1049,184,0.824928639391056,0.850770478507705,1,1
"137",824,1055,178,0.822355289421158,0.855636658556367,1,1
"138",636,1079,154,0.80506329113924,0.875101378751014,1,1
"139",780,1058,175,0.816753926701571,0.858069748580698,1,1
"140",768,1069,164,0.824034334763948,0.866991078669911,1,1
"141",773,1081,152,0.835675675675676,0.876723438767234,1,1
"142",780,1075,158,0.831556503198294,0.871857258718573,1,1
"143",874,1056,177,0.831588962892483,0.856447688564477,1,1
"144",809,1054,179,0.818825910931174,0.854825628548256,1,1
"145",710,1060,173,0.804077010192526,0.859691808596918,1,1
"146",842,1064,169,0.832838773491593,0.862935928629359,1,1
"147",743,1070,163,0.820088300220751,0.867802108678021,1,1
"148",875,1064,169,0.838122605363985,0.862935928629359,1,1
"149",857,1063,170,0.834469328140214,0.862124898621249,1,1
"150",737,1091,142,0.838452787258248,0.884833738848337,1,1
"151",786,1088,145,0.844253490870032,0.882400648824006,1,1
"152",695,1061,172,0.80161476355248,0.860502838605028,1,1
"153",959,1061,172,0.847922192749779,0.860502838605028,1,1
"154",818,1073,160,0.83640081799591,0.870235198702352,1,1
"155",848,1059,174,0.829745596868884,0.858880778588808,1,1
"156",765,1067,166,0.821697099892589,0.86536901865369,1,1
"157",751,1072,161,0.823464912280702,0.869424168694242,1,1
"158",770,1074,159,0.828848223896663,0.871046228710462,1,1
"159",795,1072,161,0.831589958158996,0.869424168694242,1,1
"160",687,1079,154,0.816884661117717,0.875101378751014,1,1
"161",781,1069,164,0.826455026455026,0.866991078669911,1,1
"162",885,1062,171,0.838068181818182,0.861313868613139,1,1
"163",760,1062,171,0.816326530612245,0.861313868613139,1,1
"164",812,1060,173,0.824365482233503,0.859691808596918,1,1
"165",806,1084,149,0.843979057591623,0.879156528791565,1,1
"166",801,1070,163,0.830912863070539,0.867802108678021,1,1
"167",843,1055,178,0.8256611165524,0.855636658556367,1,1
"168",724,1061,172,0.808035714285714,0.860502838605028,1,1
"169",725,1077,156,0.822928490351873,0.873479318734793,1,1
"170",793,1060,173,0.820910973084886,0.859691808596918,1,1
"171",689,1066,167,0.804906542056075,0.86455798864558,1,1
"172",834,1073,160,0.839034205231388,0.870235198702352,1,1
"173",761,1081,152,0.833515881708653,0.876723438767234,1,1
"174",757,1075,158,0.827322404371585,0.871857258718573,1,1
"175",859,1052,181,0.825961538461538,0.853203568532036,1,1
"176",836,1043,190,0.814814814814815,0.845904298459043,1,1
"177",837,1072,161,0.838677354709419,0.869424168694242,1,1
"178",885,1050,183,0.828651685393258,0.851581508515815,1,1
"179",821,1060,173,0.825955734406439,0.859691808596918,1,1
"180",676,1069,164,0.804761904761905,0.866991078669911,1,1
"181",825,1057,176,0.824175824175824,0.857258718572587,1,1
"182",733,1081,152,0.828248587570621,0.876723438767234,1,1
"183",912,1071,162,0.849162011173184,0.868613138686131,1,1
"184",780,1093,140,0.847826086956522,0.886455798864558,1,1
"185",842,1048,185,0.819863680623174,0.849959448499594,1,1
"186",884,1061,172,0.837121212121212,0.860502838605028,1,1
"187",808,1078,155,0.839044652128764,0.874290348742903,1,1
"188",776,1082,151,0.837108953613808,0.877534468775345,1,1
"189",892,1072,161,0.84710351377018,0.869424168694242,1,1
"190",747,1072,161,0.822687224669604,0.869424168694242,1,1
"191",669,1073,160,0.806996381182147,0.870235198702352,1,1
"192",696,1072,161,0.812135355892649,0.869424168694242,1,1
"193",921,1056,177,0.83879781420765,0.856447688564477,1,1
"194",780,1069,164,0.826271186440678,0.866991078669911,1,1
"195",758,1073,160,0.825708061002179,0.870235198702352,1,1
"196",760,1077,156,0.829694323144105,0.873479318734793,1,1
"197",848,1085,148,0.85140562248996,0.879967558799676,1,1
"198",742,1082,151,0.830907054871221,0.877534468775345,1,1
"199",790,1061,172,0.821205821205821,0.860502838605028,1,1
"200",693,1065,168,0.804878048780488,0.86374695863747,1,1
"201",872,1057,176,0.83206106870229,0.857258718572587,1,1
"202",880,1057,176,0.833333333333333,0.857258718572587,1,1
"203",730,1064,169,0.812013348164627,0.862935928629359,1,1
"204",648,1083,150,0.81203007518797,0.878345498783455,1,1
"205",805,1061,172,0.823950870010235,0.860502838605028,1,1
"206",757,1057,176,0.811361200428725,0.857258718572587,1,1
"207",833,1083,150,0.847405900305188,0.878345498783455,1,1
"208",715,1069,164,0.813424345847554,0.866991078669911,1,1
"209",763,1082,151,0.834792122538293,0.877534468775345,1,1
"210",843,1067,166,0.835480673934589,0.86536901865369,1,1
"211",707,1067,166,0.809851088201604,0.86536901865369,1,1
"212",901,1057,176,0.836583101207057,0.857258718572587,1,1
"213",803,1079,154,0.839080459770115,0.875101378751014,1,1
"214",656,1070,163,0.800976800976801,0.867802108678021,1,1
"215",774,1071,162,0.826923076923077,0.868613138686131,1,1
"216",786,1079,154,0.836170212765957,0.875101378751014,1,1
"217",763,1088,145,0.840308370044053,0.882400648824006,1,1
"218",830,1062,171,0.829170829170829,0.861313868613139,1,1
"219",683,1079,154,0.816009557945042,0.875101378751014,1,1
"220",851,1056,177,0.827821011673152,0.856447688564477,1,1
"221",753,1077,156,0.828382838283828,0.873479318734793,1,1
"222",631,1092,141,0.817357512953368,0.885644768856448,1,1
"223",753,1076,157,0.827472527472527,0.872668288726683,1,1
"224",722,1080,153,0.825142857142857,0.875912408759124,1,1
"225",963,1052,181,0.841783216783217,0.853203568532036,1,1
"226",714,1074,159,0.81786941580756,0.871046228710462,1,1
"227",773,1067,166,0.82321618743344,0.86536901865369,1,1
"228",747,1076,157,0.826327433628319,0.872668288726683,1,1
"229",717,1066,167,0.811085972850679,0.86455798864558,1,1
"230",796,1070,163,0.830031282586027,0.867802108678021,1,1
"231",769,1067,166,0.822459893048128,0.86536901865369,1,1
"232",943,1050,183,0.837477797513322,0.851581508515815,1,1
"233",824,1062,171,0.828140703517588,0.861313868613139,1,1
"234",750,1070,163,0.821467688937568,0.867802108678021,1,1
"235",787,1061,172,0.820646506777894,0.860502838605028,1,1
"236",661,1078,155,0.810049019607843,0.874290348742903,1,1
"237",913,1061,172,0.84147465437788,0.860502838605028,1,1
"238",698,1073,160,0.813519813519814,0.870235198702352,1,1
"239",760,1058,175,0.812834224598931,0.858069748580698,1,1
"240",892,1059,174,0.836772983114446,0.858880778588808,1,1
"241",755,1068,165,0.820652173913043,0.866180048661801,1,1
"242",741,1073,160,0.822419533851276,0.870235198702352,1,1
"243",794,1080,153,0.83843717001056,0.875912408759124,1,1
"244",822,1067,166,0.831983805668016,0.86536901865369,1,1
"245",741,1070,163,0.819690265486726,0.867802108678021,1,1
"246",745,1083,150,0.832402234636871,0.878345498783455,1,1
"247",748,1085,148,0.834821428571429,0.879967558799676,1,1
"248",835,1068,165,0.835,0.866180048661801,1,1
"249",772,1068,165,0.823906083244397,0.866180048661801,1,1
"250",902,1067,166,0.844569288389513,0.86536901865369,1,1
"251",922,1045,188,0.830630630630631,0.847526358475264,1,1
"252",768,1086,147,0.839344262295082,0.880778588807786,1,1
"253",749,1070,163,0.821271929824561,0.867802108678021,1,1
"254",872,1062,171,0.836049856184084,0.861313868613139,1,1
"255",814,1074,159,0.836587872559096,0.871046228710462,1,1
"256",745,1067,166,0.817782656421515,0.86536901865369,1,1
"257",736,1061,172,0.81057268722467,0.860502838605028,1,1
"258",852,1059,174,0.830409356725146,0.858880778588808,1,1
"259",752,1077,156,0.828193832599119,0.873479318734793,1,1
"260",795,1068,165,0.828125,0.866180048661801,1,1
"261",845,1066,167,0.83498023715415,0.86455798864558,1,1
"262",831,1070,163,0.836016096579477,0.867802108678021,1,1
"263",777,1062,171,0.819620253164557,0.861313868613139,1,1
"264",734,1069,164,0.817371937639198,0.866991078669911,1,1
"265",807,1065,168,0.827692307692308,0.86374695863747,1,1
"266",638,1082,151,0.808618504435995,0.877534468775345,1,1
"267",839,1065,168,0.833167825223436,0.86374695863747,1,1
"268",684,1080,153,0.817204301075269,0.875912408759124,1,1
"269",837,1065,168,0.832835820895522,0.86374695863747,1,1
"270",733,1078,155,0.82545045045045,0.874290348742903,1,1
"271",803,1056,177,0.819387755102041,0.856447688564477,1,1
"272",758,1073,160,0.825708061002179,0.870235198702352,1,1
"273",690,1065,168,0.804195804195804,0.86374695863747,1,1
"274",807,1072,161,0.833677685950413,0.869424168694242,1,1
"275",748,1067,166,0.818380743982494,0.86536901865369,1,1
"276",689,1077,156,0.815384615384615,0.873479318734793,1,1
"277",763,1061,172,0.816042780748663,0.860502838605028,1,1
"278",800,1070,163,0.83073727933541,0.867802108678021,1,1
"279",773,1076,157,0.831182795698925,0.872668288726683,1,1
"280",801,1070,163,0.830912863070539,0.867802108678021,1,1
"281",745,1077,156,0.826859045504994,0.873479318734793,1,1
"282",723,1065,168,0.811447811447811,0.86374695863747,1,1
"283",860,1068,165,0.839024390243902,0.866180048661801,1,1
"284",784,1061,172,0.820083682008368,0.860502838605028,1,1
"285",716,1073,160,0.817351598173516,0.870235198702352,1,1
"286",705,1076,157,0.817865429234339,0.872668288726683,1,1
"287",865,1070,163,0.841439688715953,0.867802108678021,1,1
"288",809,1080,153,0.840956340956341,0.875912408759124,1,1
"289",776,1062,171,0.819429778247096,0.861313868613139,1,1
"290",916,1086,147,0.861712135465663,0.880778588807786,1,1
"291",654,1079,154,0.809405940594059,0.875101378751014,1,1
"292",919,1050,183,0.833938294010889,0.851581508515815,1,1
"293",707,1067,166,0.809851088201604,0.86536901865369,1,1
"294",712,1085,148,0.827906976744186,0.879967558799676,1,1
"295",935,1054,179,0.839317773788151,0.854825628548256,1,1
"296",764,1067,166,0.821505376344086,0.86536901865369,1,1
"297",856,1058,175,0.830261881668283,0.858069748580698,1,1
"298",776,1054,179,0.812565445026178,0.854825628548256,1,1
"299",883,1058,175,0.834593572778828,0.858069748580698,1,1
"300",853,1052,181,0.82495164410058,0.853203568532036,1,1
"301",834,1055,178,0.824110671936759,0.855636658556367,1,1
"302",795,1082,151,0.840380549682875,0.877534468775345,1,1
"303",915,1059,174,0.840220385674931,0.858880778588808,1,1
"304",770,1062,171,0.818278427205101,0.861313868613139,1,1
"305",723,1065,168,0.811447811447811,0.86374695863747,1,1
"306",767,1057,176,0.813361611876988,0.857258718572587,1,1
"307",691,1084,149,0.822619047619048,0.879156528791565,1,1
"308",720,1070,163,0.815402038505096,0.867802108678021,1,1
"309",782,1072,161,0.829268292682927,0.869424168694242,1,1
"310",865,1061,172,0.834136933461909,0.860502838605028,1,1
"311",707,1067,166,0.809851088201604,0.86536901865369,1,1
"312",889,1056,177,0.833958724202627,0.856447688564477,1,1
"313",732,1077,156,0.824324324324324,0.873479318734793,1,1
"314",712,1066,167,0.810011376564278,0.86455798864558,1,1
"315",698,1088,145,0.827995255041518,0.882400648824006,1,1
"316",845,1068,165,0.836633663366337,0.866180048661801,1,1
"317",743,1070,163,0.820088300220751,0.867802108678021,1,1
"318",704,1090,143,0.831168831168831,0.884022708840227,1,1
"319",598,1068,165,0.783748361730013,0.866180048661801,1,1
"320",893,1069,164,0.84484389782403,0.866991078669911,1,1
"321",883,1059,174,0.835383159886471,0.858880778588808,1,1
"322",903,1047,186,0.829201101928375,0.849148418491484,1,1
"323",800,1061,172,0.823045267489712,0.860502838605028,1,1
"324",930,1056,177,0.840108401084011,0.856447688564477,1,1
"325",805,1069,164,0.830753353973168,0.866991078669911,1,1
"326",853,1063,170,0.833822091886608,0.862124898621249,1,1
"327",831,1062,171,0.82934131736527,0.861313868613139,1,1
"328",830,1054,179,0.822596630327057,0.854825628548256,1,1
"329",805,1062,171,0.824795081967213,0.861313868613139,1,1
"330",796,1066,167,0.826583592938733,0.86455798864558,1,1
"331",740,1076,157,0.824972129319955,0.872668288726683,1,1
"332",780,1066,167,0.823653643083421,0.86455798864558,1,1
